	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
27	27	1141	968	2	0.15	300	3.5529	3.633	3.647	0.1639	0.1679	0.1654	0.1566	1.5112	1.5384	0.9667	0.7843	0.7832	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
28	28	1444	268	0	0.01	300	3.5507	3.6144	3.6332	0.1641	0.1679	0.1654	0.4719	1.3487	1.3488	0.9404	0.7653	0.7606	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
29	29	1827	270	0	0.3	300	3.5559	3.6201	3.6392	0.1565	0.1679	0.1654	0.4835	1.2151	1.2236	0.925	0.7881	0.7847	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
30	30	2313	596	2	0.24	300	3.5344	3.6268	3.6454	0.1634	0.1679	0.1654	0.2541	1.136	1.1925	0.9425	0.8201	0.8175	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
31	31	2927	694	0	0.49	300	3.5385	3.6268	3.6452	0.1609	0.1679	0.1654	0.5438	1.1017	1.1249	0.9006	0.8082	0.8035	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
32	32	3705	837	0	0.48	300	3.5485	3.6346	3.6531	0.1563	0.1679	0.1654	0.5672	1.0617	1.0846	0.8934	0.8161	0.8096	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
33	33	4689	487	2	0.4	300	3.5555	3.6332	3.6517	0.1536	0.1679	0.1654	0.3059	0.847	0.8807	0.9286	0.847	0.8436	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
34	34	5934	418	0	0.11	300	3.5514	3.6444	3.6628	0.1542	0.1679	0.1654	0.481	0.9969	1.0184	0.9109	0.8235	0.8201	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
35	35	7510	407	0	0.05	300	3.5438	3.6513	3.6695	0.1575	0.1679	0.1654	0.4845	0.9952	1.0191	0.9079	0.8263	0.8204	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
36	36	9505	657	0	0.0	300	3.5602	3.6439	3.6576	0.1557	0.1679	0.1654	0.5022	0.9679	0.9799	0.9048	0.8271	0.8233	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
37	37	12029	442	1	0.22	300	3.5586	3.6414	3.6561	0.1554	0.1679	0.1654	0.3105	0.7626	0.7855	0.9278	0.8535	0.8487	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
38	38	15225	398	1	0.37	300	3.5516	3.643	3.6572	0.1563	0.1679	0.1654	0.2746	0.6619	0.6707	0.932	0.8637	0.8608	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
39	39	19268	369	2	0.04	300	3.5555	3.6402	3.6555	0.1567	0.1679	0.1654	0.332	0.7182	0.7211	0.9217	0.8588	0.8556	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
40	40	24386	75	2	0.43	300	3.5683	3.6238	3.6403	0.1599	0.1679	0.1654	0.42	0.6679	0.6872	0.9087	0.8626	0.8596	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
41	41	30863	179	1	0.18	300	3.5639	3.6223	3.6412	0.165	0.1679	0.1654	0.3349	0.6065	0.6104	0.9204	0.8711	0.8697	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
42	42	39061	442	0	0.09	300	3.5763	3.6195	3.6353	0.1654	0.1679	0.1654	0.532	0.7365	0.737	0.895	0.8643	0.8628	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
