	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
40	40	23249	75	2	0.43	300	4.3936	4.5189	4.5551	0.1238	0.1325	0.1333	1.1706	1.6112	1.6244	0.7516	0.6929	0.691	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
41	41	29386	179	1	0.18	300	4.3826	4.524	4.564	0.1228	0.1325	0.1333	0.7775	1.4502	1.466	0.8317	0.7242	0.722	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
42	42	37143	442	0	0.09	300	4.4086	4.5086	4.527	0.1234	0.1325	0.1333	1.1032	1.5493	1.5363	0.7794	0.709	0.7076	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
43	43	46947	111	0	0.14	300	4.4489	4.4949	4.5047	0.1267	0.1325	0.1333	1.0978	1.484	1.4632	0.7784	0.7183	0.7212	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
44	44	59340	242	0	0.37	300	4.4787	4.4925	4.4998	0.1266	0.1325	0.1333	1.2474	1.5092	1.4809	0.7531	0.7145	0.7194	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
45	45	75005	107	0	0.35	300	4.4953	4.4954	4.4981	0.1297	0.1325	0.1333	1.2163	1.4769	1.4507	0.7567	0.72	0.7241	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
46	46	94804	150	0	0.11	300	4.4842	4.4942	4.4978	0.1305	0.1325	0.1333	1.1472	1.3979	1.3747	0.7665	0.7293	0.7336	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
47	47	119830	38	2	0.41	300	4.4817	4.4899	4.4962	0.1295	0.1325	0.1333	1.6785	1.7758	1.7373	0.6472	0.6493	0.6519	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
48	48	151463	248	2	0.23	300	4.4829	4.4829	4.4924	0.1259	0.1325	0.1333	0.8248	1.0578	1.0298	0.8167	0.7794	0.779	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
49	49	191445	670	1	0.29	300	4.481	4.4815	4.4941	0.1229	0.1325	0.1333	0.7932	1.0104	0.9963	0.8267	0.7888	0.786	fast	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
